"","gene","coverage","chromosome","begin","end","orientation","length","position","perc_coverage","Mb_position","Chr"
"2287","Sh03_g020570",718,"Sh03",36050062,36062724,"-",12662,36056393,5.67051018796399,36.056393,"Sh0"
"2288","Sh03_g020630",6,"Sh03",36224384,36225421,"+",1037,36224902.5,0.578592092574735,36.2249025,"Sh0"
"2289","Sh03_g020650",70,"Sh03",36251956,36253248,"+",1292,36252602,5.41795665634675,36.252602,"Sh0"
"2290","Sh03_g020660",220,"Sh03",36261375,36264900,"+",3525,36263137.5,6.24113475177305,36.2631375,"Sh0"
"2291","Sh03_g020670",19,"Sh03",36265525,36272095,"-",6570,36268810,0.289193302891933,36.26881,"Sh0"
"2292","Sh03_g020730",194,"Sh03",36326418,36332629,"-",6211,36329523.5,3.12349058122686,36.3295235,"Sh0"
"2293","Sh03_g020750",18,"Sh03",36389519,36396229,"+",6710,36392874,0.268256333830104,36.392874,"Sh0"
"2294","Sh03_g020760",18,"Sh03",36398385,36399824,"+",1439,36399104.5,1.25086865879083,36.3991045,"Sh0"
"2295","Sh03_g020770",18,"Sh03",36399828,36402761,"-",2933,36401294.5,0.613706102966246,36.4012945,"Sh0"
"2296","Sh03_g020880",18,"Sh03",36635578,36637197,"-",1619,36636387.5,1.11179740580605,36.6363875,"Sh0"
"2297","Sh03_g020890",97,"Sh03",36657098,36658953,"+",1855,36658025.5,5.22911051212938,36.6580255,"Sh0"
"2298","Sh03_g020940",36,"Sh03",36671630,36676802,"+",5172,36674216,0.696055684454756,36.674216,"Sh0"
"2299","Sh03_g020990",18,"Sh03",36696062,36697866,"+",1804,36696964,0.997782705099778,36.696964,"Sh0"
"2300","Sh03_g021020",17,"Sh03",36782684,36785560,"+",2876,36784122,0.591098748261474,36.784122,"Sh0"
"2301","Sh03_g021060",61,"Sh03",36824435,36829159,"-",4724,36826797,1.29127857747671,36.826797,"Sh0"
"2302","Sh03_g021140",19,"Sh03",36931482,36933160,"-",1678,36932321,1.13230035756853,36.932321,"Sh0"
"2303","Sh03_g021160",19,"Sh03",36973106,36978174,"-",5068,36975640,0.37490134175217,36.97564,"Sh0"
"2304","Sh03_g021170",18,"Sh03",36978438,36986088,"+",7650,36982263,0.235294117647059,36.982263,"Sh0"
"2305","Sh03_g021200",18,"Sh03",37027132,37031974,"-",4842,37029553,0.371747211895911,37.029553,"Sh0"
"2306","Sh03_g021250",70,"Sh03",37065224,37070592,"-",5368,37067908,1.30402384500745,37.067908,"Sh0"
"2307","Sh03_g021320",18,"Sh03",37195287,37196118,"-",831,37195702.5,2.16606498194946,37.1957025,"Sh0"
"2308","Sh03_g021330",128,"Sh03",37200650,37205528,"-",4878,37203089,2.6240262402624,37.203089,"Sh0"
"2309","Sh03_g021380",49,"Sh03",37343842,37348127,"+",4285,37345984.5,1.14352392065344,37.3459845,"Sh0"
"2310","Sh03_g021390",19,"Sh03",37349321,37352871,"-",3550,37351096,0.535211267605634,37.351096,"Sh0"
"2311","Sh03_g021400",388,"Sh03",37394979,37398047,"-",3068,37396513,12.6466753585398,37.396513,"Sh0"
"2312","Sh03_g021410",18,"Sh03",37399958,37405205,"+",5247,37402581.5,0.343053173241852,37.4025815,"Sh0"
"2313","Sh03_g021480",255,"Sh03",37480556,37484634,"-",4078,37482595,6.25306522805297,37.482595,"Sh0"
"2314","Sh03_g021570",36,"Sh03",37632187,37635777,"+",3590,37633982,1.00278551532033,37.633982,"Sh0"
"2315","Sh03_g021610",23,"Sh03",37655773,37657427,"-",1654,37656600,1.39056831922612,37.6566,"Sh0"
"2316","Sh03_g021640",18,"Sh03",37672147,37674628,"-",2481,37673387.5,0.725513905683192,37.6733875,"Sh0"
"2317","Sh03_g021810",367,"Sh03",37779876,37794989,"+",15113,37787432.5,2.42837292397274,37.7874325,"Sh0"
"2318","Sh03_g021840",19,"Sh03",37845257,37848399,"-",3142,37846828,0.60471037555697,37.846828,"Sh0"
"2319","Sh03_g021860",104,"Sh03",37871330,37875234,"+",3904,37873282,2.66393442622951,37.873282,"Sh0"
"2320","Sh03_g021880",48,"Sh03",37880358,37881860,"+",1502,37881109,3.19573901464714,37.881109,"Sh0"
"2321","Sh03_g021980",155,"Sh03",37981455,37986765,"+",5310,37984110,2.91902071563088,37.98411,"Sh0"
"2322","Sh03_g021990",36,"Sh03",37988795,37992847,"-",4052,37990821,0.888450148075025,37.990821,"Sh0"
"2323","Sh03_g022000",47,"Sh03",38028475,38030012,"-",1537,38029243.5,3.05790500975927,38.0292435,"Sh0"
"2324","Sh03_g022020",38,"Sh03",38044397,38045883,"+",1486,38045140,2.55720053835801,38.04514,"Sh0"
"2325","Sh03_g022030",20,"Sh03",38051262,38051679,"+",417,38051470.5,4.79616306954436,38.0514705,"Sh0"
"2326","Sh03_g022140",303,"Sh03",38129151,38133510,"+",4359,38131330.5,6.9511355815554,38.1313305,"Sh0"
"2327","Sh03_g022150",18,"Sh03",38141623,38142033,"+",410,38141828,4.39024390243902,38.141828,"Sh0"
"2328","Sh03_g022330",36,"Sh03",38264327,38266426,"-",2099,38265376.5,1.71510242972844,38.2653765,"Sh0"
"2329","Sh03_g022350",22,"Sh03",38268965,38269825,"+",860,38269395,2.55813953488372,38.269395,"Sh0"
"2330","Sh03_g022370",18,"Sh03",38284938,38286313,"-",1375,38285625.5,1.30909090909091,38.2856255,"Sh0"
"2331","Sh03_g022380",55,"Sh03",38294009,38300933,"-",6924,38297471,0.794338532640092,38.297471,"Sh0"
"2332","Sh03_g022430",18,"Sh03",38369239,38373736,"-",4497,38371487.5,0.400266844563042,38.3714875,"Sh0"
"2333","Sh03_g022440",18,"Sh03",38425381,38428748,"+",3367,38427064.5,0.534600534600535,38.4270645,"Sh0"
"2334","Sh03_g022470",20,"Sh03",38530933,38532393,"+",1460,38531663,1.36986301369863,38.531663,"Sh0"
"2335","Sh03_g022480",18,"Sh03",38534334,38536752,"-",2418,38535543,0.744416873449132,38.535543,"Sh0"
"2336","Sh03_g022490",209,"Sh03",38537698,38541496,"-",3798,38539597,5.5028962611901,38.539597,"Sh0"
"2337","Sh03_g022540",20,"Sh03",38593140,38596252,"-",3112,38594696,0.6426735218509,38.594696,"Sh0"
"2338","Sh03_g022550",18,"Sh03",38596254,38596634,"-",380,38596444,4.73684210526316,38.596444,"Sh0"
"2339","Sh03_g022610",37,"Sh03",38695858,38697268,"-",1410,38696563,2.6241134751773,38.696563,"Sh0"
"2340","Sh03_g022630",19,"Sh03",38697827,38700938,"-",3111,38699382.5,0.610736097717776,38.6993825,"Sh0"
"2341","Sh03_g022660",19,"Sh03",38718367,38719828,"-",1461,38719097.5,1.30047912388775,38.7190975,"Sh0"
"2342","Sh03_g022670",18,"Sh03",38722715,38725781,"+",3066,38724248,0.587084148727984,38.724248,"Sh0"
"2343","Sh03_g022780",36,"Sh03",38886691,38887935,"-",1244,38887313,2.89389067524116,38.887313,"Sh0"
"2344","Sh03_g022790",23,"Sh03",38888169,38892208,"+",4039,38890188.5,0.569447883139391,38.8901885,"Sh0"
"2345","Sh03_g022920",18,"Sh03",39096806,39098845,"-",2039,39097825.5,0.882785679254536,39.0978255,"Sh0"
"2346","Sh03_g023000",95,"Sh03",39168204,39187650,"+",19446,39177927,0.48853234598375,39.177927,"Sh0"
"2347","Sh03_g023010",2306,"Sh03",39187652,39204094,"+",16442,39195873,14.025057778859,39.195873,"Sh0"
"2348","Sh03_g023040",106,"Sh03",39261868,39268268,"+",6400,39265068,1.65625,39.265068,"Sh0"
"2349","Sh03_g023060",18,"Sh03",39270334,39272453,"-",2119,39271393.5,0.849457291175083,39.2713935,"Sh0"
"2350","Sh03_g023080",118,"Sh03",39287282,39291007,"-",3725,39289144.5,3.16778523489933,39.2891445,"Sh0"
"2351","Sh03_g023090",424,"Sh03",39332227,39333021,"-",794,39332624,53.4005037783375,39.332624,"Sh0"
"2352","Sh03_g023180",18,"Sh03",39480082,39486234,"+",6152,39483158,0.2925877763329,39.483158,"Sh0"
"2353","Sh03_g023190",196,"Sh03",39487198,39493752,"-",6554,39490475,2.99054012816601,39.490475,"Sh0"
"2354","Sh03_g023290",18,"Sh03",39659960,39662899,"-",2939,39661429.5,0.612453215379381,39.6614295,"Sh0"
"2355","Sh03_g023420",23,"Sh03",39964460,39968074,"-",3614,39966267,0.636413945766464,39.966267,"Sh0"
"2356","Sh03_g023430",18,"Sh03",39969268,39975265,"-",5997,39972266.5,0.300150075037519,39.9722665,"Sh0"
"2357","Sh03_g023450",241,"Sh03",39985318,39990482,"+",5164,39987900,4.66692486444617,39.9879,"Sh0"
"2358","Sh03_g023460",63,"Sh03",39992308,39994820,"+",2512,39993564,2.50796178343949,39.993564,"Sh0"
"2359","Sh03_g023520",35,"Sh03",40087412,40090899,"+",3487,40089155.5,1.00372813306567,40.0891555,"Sh0"
"2360","Sh03_g023550",58,"Sh03",40104693,40106812,"-",2119,40105752.5,2.73714016045304,40.1057525,"Sh0"
"2361","Sh03_g023580",18,"Sh03",40131927,40134209,"-",2282,40133068,0.788781770376862,40.133068,"Sh0"
"2362","Sh03_g023630",56,"Sh03",40221549,40227613,"-",6064,40224581,0.923482849604222,40.224581,"Sh0"
"2363","Sh03_g023650",19,"Sh03",40294247,40295371,"-",1124,40294809,1.69039145907473,40.294809,"Sh0"
"2364","Sh03_g023690",37,"Sh03",40368281,40372055,"+",3774,40370168,0.980392156862745,40.370168,"Sh0"
"2365","Sh03_g023710",613,"Sh03",40393361,40398196,"+",4835,40395778.5,12.6783867631851,40.3957785,"Sh0"
"2366","Sh03_g023750",53,"Sh03",40407327,40408319,"+",992,40407823,5.34274193548387,40.407823,"Sh0"
"2367","Sh03_g023870",18,"Sh03",40555077,40557779,"+",2702,40556428,0.666173205033309,40.556428,"Sh0"
"2368","Sh03_g023960",18,"Sh03",40607504,40610042,"+",2538,40608773,0.709219858156028,40.608773,"Sh0"
"2369","Sh03_g023970",37,"Sh03",40623596,40626328,"+",2732,40624962,1.35431918008785,40.624962,"Sh0"
"2370","Sh03_g023980",20,"Sh03",40628819,40631435,"-",2616,40630127,0.764525993883792,40.630127,"Sh0"
"2371","Sh03_g023990",18,"Sh03",40633478,40637416,"-",3938,40635447,0.457084814626714,40.635447,"Sh0"
"2372","Sh03_g024010",1010,"Sh03",40643279,40649732,"+",6453,40646505.5,15.6516348984968,40.6465055,"Sh0"
"2373","Sh03_g024030",18,"Sh03",40660619,40664665,"+",4046,40662642,0.444883835887296,40.662642,"Sh0"
"2374","Sh03_g024140",18,"Sh03",40737049,40742405,"-",5356,40739727,0.336071695294996,40.739727,"Sh0"
"2375","Sh03_g024250",36,"Sh03",40902394,40907337,"-",4943,40904865.5,0.728302650212422,40.9048655,"Sh0"
"2376","Sh03_g024310",19,"Sh03",40945812,40946522,"+",710,40946167,2.67605633802817,40.946167,"Sh0"
"2377","Sh03_g024580",103,"Sh03",41299663,41302908,"-",3245,41301285.5,3.17411402157165,41.3012855,"Sh0"
"2378","Sh03_g024640",18,"Sh03",41503508,41507550,"+",4042,41505529,0.445324096981692,41.505529,"Sh0"
"2379","Sh03_g024770",18,"Sh03",41632301,41632545,"+",244,41632423,7.37704918032787,41.632423,"Sh0"
"2380","Sh03_g024790",38,"Sh03",41633487,41639789,"-",6302,41636638,0.602983179942875,41.636638,"Sh0"
"2381","Sh03_g024900",71,"Sh03",41880550,41885195,"-",4645,41882872.5,1.52852529601722,41.8828725,"Sh0"
"2382","Sh03_g024920",20,"Sh03",41889902,41893396,"-",3494,41891649,0.572409845449342,41.891649,"Sh0"
"2383","Sh03_g024940",18,"Sh03",42067791,42072256,"-",4465,42070023.5,0.403135498320269,42.0700235,"Sh0"
"2384","Sh03_g025080",18,"Sh03",42362458,42364315,"+",1857,42363386.5,0.969305331179321,42.3633865,"Sh0"
"2385","Sh03_g025090",19,"Sh03",42366772,42370442,"+",3670,42368607,0.517711171662125,42.368607,"Sh0"
"2386","Sh03_g025130",69,"Sh03",42427114,42432486,"-",5372,42429800,1.28443782576322,42.4298,"Sh0"
"2387","Sh03_g025160",18,"Sh03",42471074,42471750,"+",676,42471412,2.66272189349112,42.471412,"Sh0"
"2388","Sh03_g025170",107,"Sh03",42472855,42477927,"+",5072,42475391,2.1096214511041,42.475391,"Sh0"
"2389","Sh03_g025200",56,"Sh03",42505288,42509058,"-",3770,42507173,1.48541114058355,42.507173,"Sh0"
"2390","Sh03_g025250",19,"Sh03",42545745,42547206,"-",1461,42546475.5,1.30047912388775,42.5464755,"Sh0"
"2391","Sh03_g025310",62,"Sh03",42589521,42591461,"+",1940,42590491,3.19587628865979,42.590491,"Sh0"
"2392","Sh03_g025350",41,"Sh03",42652818,42658222,"-",5404,42655520,0.758697261287935,42.65552,"Sh0"
"2393","Sh03_g025380",37,"Sh03",42708782,42709430,"-",648,42709106,5.70987654320988,42.709106,"Sh0"
"2394","Sh03_g025400",18,"Sh03",42741862,42745294,"-",3432,42743578,0.524475524475524,42.743578,"Sh0"
"2395","Sh03_g025460",180,"Sh03",42825836,42826412,"-",576,42826124,31.25,42.826124,"Sh0"
"2396","Sh03_g025480",37,"Sh03",42831181,42832954,"+",1773,42832067.5,2.0868584320361,42.8320675,"Sh0"
"2397","Sh03_g025570",72,"Sh03",42978616,42982717,"+",4101,42980666.5,1.75566934893928,42.9806665,"Sh0"
"2398","Sh03_g025580",18,"Sh03",43004627,43007178,"+",2551,43005902.5,0.705605644845159,43.0059025,"Sh0"
"2399","Sh03_g025620",55,"Sh03",43031699,43035803,"-",4104,43033751,1.3401559454191,43.033751,"Sh0"
"2400","Sh03_g025640",18,"Sh03",43125850,43129211,"+",3361,43127530.5,0.535554894376674,43.1275305,"Sh0"
"2401","Sh03_g025680",53,"Sh03",43153170,43154216,"+",1046,43153693,5.06692160611855,43.153693,"Sh0"
"2402","Sh03_g025690",18,"Sh03",43154332,43157041,"+",2709,43155686.5,0.664451827242525,43.1556865,"Sh0"
"2403","Sh03_g025700",36,"Sh03",43164110,43167057,"+",2947,43165583.5,1.22158126908721,43.1655835,"Sh0"
"2404","Sh03_g025740",74,"Sh03",43256500,43259390,"-",2890,43257945,2.56055363321799,43.257945,"Sh0"
"2405","Sh03_g025970",18,"Sh03",43700512,43708048,"+",7536,43704280,0.238853503184713,43.70428,"Sh0"
"2406","Sh03_g025980",18,"Sh03",43710654,43713565,"+",2911,43712109.5,0.61834421161113,43.7121095,"Sh0"
"2407","Sh03_g026000",200,"Sh03",43748194,43749411,"-",1217,43748802.5,16.4338537387017,43.7488025,"Sh0"
"2408","Sh03_g026120",231,"Sh03",43852712,43858051,"+",5339,43855381.5,4.32665293126054,43.8553815,"Sh0"
"2409","Sh03_g026150",21,"Sh03",43868212,43871155,"-",2943,43869683.5,0.713557594291539,43.8696835,"Sh0"
"2410","Sh03_g026190",36,"Sh03",43908722,43916534,"+",7812,43912628,0.460829493087558,43.912628,"Sh0"
"2411","Sh03_g026230",50,"Sh03",43935530,43941813,"-",6283,43938671.5,0.795798185580137,43.9386715,"Sh0"
"2412","Sh03_g026250",729,"Sh03",43952048,43961879,"-",9831,43956963.5,7.41531888922795,43.9569635,"Sh0"
"2413","Sh03_g026260",18,"Sh03",43999898,44006116,"+",6218,44003007,0.289482148600836,44.003007,"Sh0"
"2414","Sh03_g026290",114,"Sh03",44058197,44059889,"+",1692,44059043,6.73758865248227,44.059043,"Sh0"
"2415","Sh03_g026400",59,"Sh03",44182614,44184019,"+",1405,44183316.5,4.19928825622776,44.1833165,"Sh0"
"2416","Sh03_g026550",141,"Sh03",44326410,44330671,"+",4261,44328540.5,3.30908237502934,44.3285405,"Sh0"
"2417","Sh03_g026570",117,"Sh03",44364140,44371927,"+",7787,44368033.5,1.5025041736227,44.3680335,"Sh0"
"2418","Sh03_g026610",18,"Sh03",44459626,44461110,"+",1484,44460368,1.21293800539084,44.460368,"Sh0"
"2419","Sh03_g026660",53,"Sh03",44514244,44520084,"-",5840,44517164,0.907534246575342,44.517164,"Sh0"
"2420","Sh03_g026750",173,"Sh03",44726133,44735684,"-",9551,44730908.5,1.81132865668516,44.7309085,"Sh0"
"2421","Sh03_g026840",18,"Sh03",44845615,44848243,"-",2628,44846929,0.684931506849315,44.846929,"Sh0"
"2422","Sh03_g026870",18,"Sh03",44882941,44888844,"-",5903,44885892.5,0.304929696764357,44.8858925,"Sh0"
"2423","Sh03_g027110",17,"Sh03",45263604,45264521,"-",917,45264062.5,1.85387131952017,45.2640625,"Sh0"
"2424","Sh03_g027140",37,"Sh03",45365831,45369294,"+",3463,45367562.5,1.06843777071903,45.3675625,"Sh0"
"2425","Sh03_g027190",1087,"Sh03",45480550,45489060,"-",8510,45484805,12.7732079905993,45.484805,"Sh0"
"2426","Sh03_g027290",105,"Sh03",45597065,45598141,"+",1076,45597603,9.75836431226766,45.597603,"Sh0"
"2427","Sh03_g027300",94,"Sh03",45603690,45605993,"-",2303,45604841.5,4.08163265306122,45.6048415,"Sh0"
"2428","Sh03_g027370",18,"Sh03",45714620,45717757,"-",3137,45716188.5,0.573796620975454,45.7161885,"Sh0"
"2429","Sh03_g027420",366,"Sh03",45779810,45791986,"+",12176,45785898,3.00591327201051,45.785898,"Sh0"
"2430","Sh03_g027440",38,"Sh03",45850873,45855488,"+",4615,45853180.5,0.823401950162514,45.8531805,"Sh0"
"2431","Sh03_g027480",18,"Sh03",45904867,45906351,"+",1484,45905609,1.21293800539084,45.905609,"Sh0"
"2432","Sh03_g027500",36,"Sh03",45911124,45914026,"+",2902,45912575,1.24052377670572,45.912575,"Sh0"
"2433","Sh03_g027520",377,"Sh03",45930886,45941034,"+",10148,45935960,3.71501773748522,45.93596,"Sh0"
"2434","Sh03_g027560",19,"Sh03",45985994,45987876,"+",1882,45986935,1.00956429330499,45.986935,"Sh0"
"2435","Sh03_g027680",28,"Sh03",46107566,46110638,"+",3072,46109102,0.911458333333333,46.109102,"Sh0"
"2436","Sh03_g027710",18,"Sh03",46120768,46122489,"-",1721,46121628.5,1.0459035444509,46.1216285,"Sh0"
"2437","Sh03_g027730",18,"Sh03",46124273,46127540,"-",3267,46125906.5,0.550964187327824,46.1259065,"Sh0"
"2438","Sh03_g027760",18,"Sh03",46192861,46196066,"-",3205,46194463.5,0.561622464898596,46.1944635,"Sh0"
"2439","Sh03_g027780",19,"Sh03",46198894,46203168,"-",4274,46201031,0.444548432381844,46.201031,"Sh0"
"2440","Sh03_g027810",18,"Sh03",46232646,46234104,"-",1458,46233375,1.23456790123457,46.233375,"Sh0"
"2441","Sh03_g027830",18,"Sh03",46266422,46268171,"-",1749,46267296.5,1.02915951972556,46.2672965,"Sh0"
"2442","Sh03_g027980",18,"Sh03",46582014,46583865,"+",1851,46582939.5,0.972447325769854,46.5829395,"Sh0"
"2443","Sh03_g028030",295,"Sh03",46716579,46723124,"-",6545,46719851.5,4.50725744843392,46.7198515,"Sh0"
"2444","Sh03_g028040",36,"Sh03",46725799,46729397,"-",3598,46727598,1.00055586436909,46.727598,"Sh0"
"2445","Sh03_g028050",18,"Sh03",46730295,46730918,"+",623,46730606.5,2.8892455858748,46.7306065,"Sh0"
"2446","Sh03_g028130",2512,"Sh03",46862608,46872278,"-",9670,46867443,25.9772492244054,46.867443,"Sh0"
"2447","Sh03_g028160",216,"Sh03",46924959,46926250,"+",1291,46925604.5,16.7312161115414,46.9256045,"Sh0"
"2448","Sh03_g028250",19,"Sh03",47025029,47027732,"+",2703,47026380.5,0.702922678505364,47.0263805,"Sh0"
"2449","Sh03_g028300",18,"Sh03",47102398,47103019,"+",621,47102708.5,2.89855072463768,47.1027085,"Sh0"
"2450","Sh03_g028390",19,"Sh03",47243731,47244622,"-",891,47244176.5,2.1324354657688,47.2441765,"Sh0"
"2451","Sh03_g028400",192,"Sh03",47245514,47248173,"-",2659,47246843.5,7.22075968409176,47.2468435,"Sh0"
"2452","Sh03_g028490",979,"Sh03",47476729,47479790,"-",3061,47478259.5,31.9830120875531,47.4782595,"Sh0"
"2453","Sh03_g028530",18,"Sh03",47500155,47505907,"+",5752,47503031,0.312934631432545,47.503031,"Sh0"
"2454","Sh03_g028550",18,"Sh03",47570031,47575283,"+",5252,47572657,0.342726580350343,47.572657,"Sh0"
"2455","Sh03_g028560",18,"Sh03",47575612,47576598,"-",986,47576105,1.82555780933063,47.576105,"Sh0"
"2456","Sh03_g028570",19,"Sh03",47577401,47578833,"-",1432,47578117,1.3268156424581,47.578117,"Sh0"
"2457","Sh03_g028600",19,"Sh03",47607006,47614829,"-",7823,47610917.5,0.242873577911287,47.6109175,"Sh0"
"2458","Sh03_g028660",194,"Sh03",47630068,47634171,"-",4103,47632119.5,4.72824762368998,47.6321195,"Sh0"
"2459","Sh03_g028720",354,"Sh03",47724688,47733707,"-",9019,47729197.5,3.92504712274088,47.7291975,"Sh0"
"2460","Sh03_g028740",36,"Sh03",47840808,47847151,"+",6343,47843979.5,0.567554784802144,47.8439795,"Sh0"
"2461","Sh03_g028750",18,"Sh03",47848544,47850338,"+",1794,47849441,1.00334448160535,47.849441,"Sh0"
"2462","Sh03_g028850",18,"Sh03",47917901,47922501,"-",4600,47920201,0.391304347826087,47.920201,"Sh0"
"2463","Sh03_g028940",18,"Sh03",48172438,48173746,"+",1308,48173092,1.37614678899083,48.173092,"Sh0"
"2464","Sh03_g028950",234,"Sh03",48185229,48187607,"+",2378,48186418,9.84020185029437,48.186418,"Sh0"
"2465","Sh03_g029060",115,"Sh03",48220690,48226695,"+",6005,48223692.5,1.9150707743547,48.2236925,"Sh0"
"2466","Sh03_g029090",122,"Sh03",48260182,48268109,"-",7927,48264145.5,1.53904377444178,48.2641455,"Sh0"
"2467","Sh03_g029100",20,"Sh03",48298466,48302799,"+",4333,48300632.5,0.461573967228248,48.3006325,"Sh0"
"2468","Sh03_g029130",19,"Sh03",48403037,48405038,"+",2001,48404037.5,0.949525237381309,48.4040375,"Sh0"
"2469","Sh03_g029140",65,"Sh03",48413374,48419187,"-",5813,48416280.5,1.11818338207466,48.4162805,"Sh0"
"2470","Sh03_g029200",19,"Sh03",48532525,48534849,"-",2324,48533687,0.817555938037866,48.533687,"Sh0"
"2471","Sh03_g029220",18,"Sh03",48573654,48579091,"-",5437,48576372.5,0.331064925510392,48.5763725,"Sh0"
"2472","Sh03_g029290",101,"Sh03",48611338,48614632,"-",3294,48612985,3.06618093503339,48.612985,"Sh0"
"2473","Sh03_g029370",174,"Sh03",48745861,48748456,"-",2595,48747158.5,6.70520231213873,48.7471585,"Sh0"
"2474","Sh03_g029400",18,"Sh03",48776836,48780479,"-",3643,48778657.5,0.494098270656053,48.7786575,"Sh0"
"2475","Sh03_g029410",55,"Sh03",48780808,48787953,"+",7145,48784380.5,0.769769069279216,48.7843805,"Sh0"
"2476","Sh03_g029480",18,"Sh03",48806805,48811046,"+",4241,48808925.5,0.424428200896015,48.8089255,"Sh0"
"2477","Sh03_g029500",55,"Sh03",48836278,48839823,"+",3545,48838050.5,1.55148095909732,48.8380505,"Sh0"
"2478","Sh03_g029550",19,"Sh03",48863546,48864914,"-",1368,48864230,1.38888888888889,48.86423,"Sh0"
"2479","Sh03_g029560",37,"Sh03",48879653,48882720,"+",3067,48881186.5,1.20639060971634,48.8811865,"Sh0"
"2480","Sh03_g029570",54,"Sh03",48884604,48889767,"+",5163,48887185.5,1.0459035444509,48.8871855,"Sh0"
"2481","Sh03_g029680",18,"Sh03",49036921,49040537,"+",3616,49038729,0.497787610619469,49.038729,"Sh0"
"2482","Sh03_g029730",33,"Sh03",49136777,49139894,"-",3117,49138335.5,1.05871029836381,49.1383355,"Sh0"
"2483","Sh03_g029740",18,"Sh03",49145483,49146551,"-",1068,49146017,1.68539325842697,49.146017,"Sh0"
"2484","Sh03_g029770",94,"Sh03",49153676,49158833,"+",5157,49156254.5,1.82276517355051,49.1562545,"Sh0"
"2485","Sh03_g029940",36,"Sh03",49370954,49372504,"-",1550,49371729,2.32258064516129,49.371729,"Sh0"
"2486","Sh03_g030070",41,"Sh03",49545599,49546796,"-",1197,49546197.5,3.42522974101921,49.5461975,"Sh0"
"2487","Sh03_g030110",36,"Sh03",49643232,49651015,"-",7783,49647123.5,0.462546575870487,49.6471235,"Sh0"
"2488","Sh03_g030170",19,"Sh03",49767466,49769635,"-",2169,49768550.5,0.875979714153988,49.7685505,"Sh0"
"2489","Sh03_g030200",19,"Sh03",49778691,49782970,"+",4279,49780830.5,0.444028978733349,49.7808305,"Sh0"
"2490","Sh03_g030240",19,"Sh03",49867902,49873435,"-",5533,49870668.5,0.343394180372312,49.8706685,"Sh0"
"2491","Sh03_g030270",175,"Sh03",49959852,49965247,"-",5395,49962549.5,3.24374420759963,49.9625495,"Sh0"
"2492","Sh03_g030280",132,"Sh03",49970250,49974703,"-",4453,49972476.5,2.96429373456097,49.9724765,"Sh0"
"2493","Sh03_g030320",36,"Sh03",50030155,50038081,"+",7926,50034118,0.454201362604088,50.034118,"Sh0"
"2494","Sh03_g030370",60,"Sh03",50094082,50096614,"+",2532,50095348,2.3696682464455,50.095348,"Sh0"
"2495","Sh03_g030430",18,"Sh03",50122577,50127882,"+",5305,50125229.5,0.339302544769086,50.1252295,"Sh0"
"2496","Sh03_g030560",18,"Sh03",50370058,50375278,"+",5220,50372668,0.344827586206897,50.372668,"Sh0"
"2497","Sh03_g030610",2191,"Sh03",50496608,50512841,"+",16233,50504724.5,13.4971970677016,50.5047245,"Sh0"
"2498","Sh03_g030650",642,"Sh03",50548275,50549711,"+",1436,50548993,44.7075208913649,50.548993,"Sh0"
"2499","Sh03_g030690",18,"Sh03",50562251,50569579,"-",7328,50565915,0.245633187772926,50.565915,"Sh0"
"2500","Sh03_g030740",18,"Sh03",50633822,50634640,"+",818,50634231,2.20048899755501,50.634231,"Sh0"
"2501","Sh03_g030800",18,"Sh03",50827148,50827999,"-",851,50827573.5,2.11515863689777,50.8275735,"Sh0"
"2502","Sh03_g030810",38,"Sh03",50828039,50831541,"-",3502,50829790,1.0850942318675,50.82979,"Sh0"
"2503","Sh03_g030840",18,"Sh03",50836385,50837816,"-",1431,50837100.5,1.25786163522013,50.8371005,"Sh0"
"2504","Sh03_g030900",37,"Sh03",50906310,50909354,"+",3044,50907832,1.21550591327201,50.907832,"Sh0"
"2505","Sh03_g030930",36,"Sh03",50928904,50936423,"-",7519,50932663.5,0.478787072749036,50.9326635,"Sh0"
"2506","Sh03_g030990",18,"Sh03",50998143,51001358,"-",3215,50999750.5,0.559875583203733,50.9997505,"Sh0"
"2507","Sh03_g031010",20,"Sh03",51032483,51037694,"+",5211,51035088.5,0.383803492611783,51.0350885,"Sh0"
"2508","Sh03_g031030",19,"Sh03",51049676,51054297,"-",4621,51051986.5,0.411166414196061,51.0519865,"Sh0"
"2509","Sh03_g031140",62,"Sh03",51134911,51137801,"-",2890,51136356,2.14532871972318,51.136356,"Sh0"
"2510","Sh03_g031340",18,"Sh03",51362711,51368270,"+",5559,51365490.5,0.32379924446843,51.3654905,"Sh0"
"2511","Sh03_g031460",196,"Sh03",51606872,51609047,"+",2175,51607959.5,9.01149425287356,51.6079595,"Sh0"
"2512","Sh03_g031530",143,"Sh03",51684452,51685372,"-",920,51684912,15.5434782608696,51.684912,"Sh0"
"2513","Sh03_g031540",19,"Sh03",51695800,51698716,"-",2916,51697258,0.651577503429355,51.697258,"Sh0"
"2514","Sh03_g031620",18,"Sh03",51835608,51839996,"+",4388,51837802,0.4102096627165,51.837802,"Sh0"
"2515","Sh03_g031690",36,"Sh03",51901639,51905259,"-",3620,51903449,0.994475138121547,51.903449,"Sh0"
"2516","Sh03_g031710",216,"Sh03",51922990,51928969,"-",5979,51925979.5,3.61264425489212,51.9259795,"Sh0"
"2517","Sh03_g031840",18,"Sh03",52151324,52152433,"-",1109,52151878.5,1.62308385933273,52.1518785,"Sh0"
